"url","duration","intake","programme_outline","entry_requirements","career_prospect__001","career_prospect__002","career_prospect__003","career_prospect__004","career_prospect__005","career_prospect__006","career_prospect__007","career_prospect__008","career_prospect__009","career_prospect__010","career_prospect__011","career_prospect__012","career_prospect__013","career_prospect__014","career_prospect__015","career_prospect__016","career_prospect__017","career_prospect__018"
"","","","Tourism Product and Destination Development","","","","","","","","","","","","","","","","","","",""
"","","","Professional Development","","","","","","","","","","","","","","","","","","",""
"","","","Sustainable Tourism","","","","","","","","","","","","","","","","","","",""
"","","","Tourism Policy and Planning","","","","","","","","","","","","","","","","","","",""
"","","","Tourism & Hospitality Research Methods","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Attachment","","","","","","","","","","","","","","","","","","",""
"","","","Tour Business Management","","","","","","","","","","","","","","","","","","",""
"","","","Smart Tourism","","","","","","","","","","","","","","","","","","",""
"","","","Digital Transformation in Tourism","","","","","","","","","","","","","","","","","","",""
"","","","Spa & Wellness Management","","","","","","","","","","","","","","","","","","",""
"","","","Digital Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Bahasa Kebangsaan A, Falsafah dan Isu Semasa, Academic English,","","","","","","","","","","","","","","","","","","",""
"","","","Integrity and Anti-Corruption","","","","","","","","","","","","","","","","","","",""
"","","",", Penghayatan Etika dan Peradaban, Service Learning, English for Career Preparation, Co-curricular courses.","","","","","","","","","","","","","","","","","","",""
"https://fobe.tarc.edu.my/programmes/bachelors-degree","","","","","","","","","","","","","","","","","","","","","",""
"https://focs.tarc.edu.my/programmes/diploma/diploma-in-software-engineering-dsf","2","June","Problem Solving and Programming","","Junior Software Engineers","Junior Software Developers","Junior Software Testers","Junior Web Developers","Junior Database Administrators","Junior Systems Analysts","","","","","","","","","","","",""
"","","","Software Engineering","","","","","","","","","","","","","","","","","","",""
"","","","Calculus and Algebra","","","","","","","","","","","","","","","","","","",""
"","","","Software Requirement and Design","","","","","","","","","","","","","","","","","","",""
"","","","Web Design and Development","","","","","","","","","","","","","","","","","","",""
"","","","Object-Oriented Programming Techniques","","","","","","","","","","","","","","","","","","",""
"","","","Software Testing and Quality","","","","","","","","","","","","","","","","","","",""
"","","","Database Development and Applications","","","","","","","","","","","","","","","","","","",""
"","","","Computer Systems Architecture","","","","","","","","","","","","","","","","","","",""
"","","","Software Maintenance","","","","","","","","","","","","","","","","","","",""
"","","","Operating Systems","","","","","","","","","","","","","","","","","","",""
"","","","Mini Project","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Data Structures and Algorithms","","","","","","","","","","","","","","","","","","",""
"","","","Discrete Mathematics","","","","","","","","","","","","","","","","","","",""
"","","","Mobile Application Development","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Computer Networks","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training (","","","","","","","","","","","","","","","","","","",""
"","","","0 weeks)","","","","","","","","","","","","","","","","","","",""
"","","","Electives (Choose 2):","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Artificial Intelligence","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Cloud Computing","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Data Science","","","","","","","","","","","","","","","","","","",""
"","","","Electronic Commerce","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English, Bahasa Kebangsaan A/ Civic Consciousness and Volunteerism , Penghayatan Etika dan Peradaban, Integrity and Anti Corruption, Co-curricular","","","","","","","","","","","","","","","","","","",""
"","","","Academic Progression","","","","","","","","","","","","","","","","","","",""
"","","","Graduates may be admitted into Year 2 of:","","","","","","","","","","","","","","","","","","",""
"","","","Bachelor of Software Engineering (Honours)","","","","","","","","","","","","","","","","","","",""
"https://foas.tarc.edu.my/programmes/bachelor-degree/rse-sports-and-exercise-science",":",":","Human Anatomy and Physiology","","Sport Scientists","Sport Therapists","Strength and Conditioning Coaches","Sports Coaches","Sport Physiologists","Sport Biomechanists","Sport and Exercise Psychologists","Health Promotion Specialists","Sports Development Officers","Sport Administrators","Health & Lifestyle Consultants","Physical Education Teachers","Event Management Executives","Fitness Trainers","Sport Entrepreneurs","Personal Trainers","",""
"","","","Introduction to Sports Science","","","","","","","","","","","","","","","","","","",""
"","","","Foundation of Fitness and Exercise","","","","","","","","","","","","","","","","","","",""
"","","","Sports Psychology","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Coaching","","","","","","","","","","","","","","","","","","",""
"","","","Basic Biomechanics","","","","","","","","","","","","","","","","","","",""
"","","","Sports Injuries and Prevention","","","","","","","","","","","","","","","","","","",""
"","","","Motor Control and Learning","","","","","","","","","","","","","","","","","","",""
"","","","Sports Nutrition","","","","","","","","","","","","","","","","","","",""
"","","","Sports and Exercise Psychology","","","","","","","","","","","","","","","","","","",""
"","","","Biomechanical Analysis of Human Movement","","","","","","","","","","","","","","","","","","",""
"","","","Exercise Physiology","","","","","","","","","","","","","","","","","","",""
"","","","Testing and Measurement in Sports & Exercise","","","","","","","","","","","","","","","","","","",""
"","","","Applied Exercise Physiology","","","","","","","","","","","","","","","","","","",""
"","","","Exercise Testing and Prescription","","","","","","","","","","","","","","","","","","",""
"","","","Research Project","","","","","","","","","","","","","","","","","","",""
"","","","Research Methodology in Sports & Exercise","","","","","","","","","","","","","","","","","","",""
"","","","Sports & Exercise for Special Population","","","","","","","","","","","","","","","","","","",""
"","","","Internship/Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Core Elective:","","","","","","","","","","","","","","","","","","",""
"","","","Applied Sports Nutrition","","","","","","","","","","","","","","","","","","",""
"","","","Exercise and Rehabilitation","","","","","","","","","","","","","","","","","","",""
"","","","Sports Coaching","","","","","","","","","","","","","","","","","","",""
"","","","Strength and Conditioning","","","","","","","","","","","","","","","","","","",""
"","","","Physiological Testing and Training","","","","","","","","","","","","","","","","","","",""
"","","","Performance Assessment for Sports","","","","","","","","","","","","","","","","","","",""
"","","","Clinical Exercise Testing","","","","","","","","","","","","","","","","","","",""
"","","","Health, Fitness and Disease","","","","","","","","","","","","","","","","","","",""
"","","","Behaviour Modifcation in Sports & Exercise","","","","","","","","","","","","","","","","","","",""
"","","","Games Elective:","","","","","","","","","","","","","","","","","","",""
"","","","Games I: Gym Workout and Swimming","","","","","","","","","","","","","","","","","","",""
"","","","Games II : Tennis and Gymnastics","","","","","","","","","","","","","","","","","","",""
"","","","Games III: Track & Field","","","","","","","","","","","","","","","","","","",""
"","","","Games IV: Basketball and Badminton","","","","","","","","","","","","","","","","","","",""
